code6	title	class	system/local	cto	cto_name	ucd_academic	ucd_senate_federation	Durst/Federation	Academic Count	Staff Count
003580	COURSE AUTHOR-UNEX	COURSE AUTHOR-UNEX	Academic	Systemwide	828	F	No			
003581	COURSE AUTHOR-UNEX NEX	COURSE AUTHOR-UNEX NEX	Academic	Systemwide	828	F	No			
003600	ASSOC UNIV LIBRARIAN	ASSOC UNIV LIBRARIAN	Academic	Systemwide	627	F	Federation	Federation		
003601	ASSOC UNIV LIBRARIAN NEX	ASSOC UNIV LIBRARIAN NEX	Academic	Systemwide	627	F	Federation	Federation		
003602	LIBRARIAN-CAREER NON REP	LIBRARIAN-CAREER NON REP	Academic	Systemwide	621	F	UNK	Federation	3	
003603	LIBRARIAN-POTNTLCAREER NON REP	LIBRARIAN-POTNTLCAREER NON REP	Academic	Systemwide	621	F	UNK	Federation	1	
003604	ASSOC LIBRARIAN-CAREER NON REP	ASSOC LIBRARIAN-CAREER NON REP	Academic	Systemwide	621	F	UNK	Federation		
003605	ASSOC LIBRARIAN-POTLCAR NONREP	ASSOC LIBRARIAN-POTLCAR NONREP	Academic	Systemwide	621	F	UNK	Federation	1	
003606	ASST LIBRARIAN-CAREER NON REP	ASST LIBRARIAN-CAREER NON REP	Academic	Systemwide	621	F	UNK	Federation		
003607	ASST LIBRARIAN-POTLCAR NONREP	ASST LIBRARIAN-POTLCAR NONREP	Academic	Systemwide	621	F	UNK	Federation		
003610	ASST UNIV LIBRARIAN	ASST UNIV LIBRARIAN	Academic	Systemwide	627	F	UNK	Federation		
003611	ASST UNIV LIBRARIAN NEX	ASST UNIV LIBRARIAN NEX	Academic	Systemwide	627	F	Federation	Federation		
003612	LIBRARIAN-CAREER STATUS	LIBRARIAN-CAREER STATUS	Academic	Systemwide	621	F	Federation	Federation	13	
003613	LIBRARIAN-POTNTL CAREER STATUS	LIBRARIAN-POTNTL CAREER STATUS	Academic	Systemwide	621	F	Federation	Federation		
003614	LIBRARIAN-TEMP STATUS	LIBRARIAN-TEMP STATUS	Academic	Systemwide	621	F	Federation	Federation		
003615	VIS LIBRARIAN	VIS LIBRARIAN	Academic	Systemwide	623	F	No			
003616	ASSOC LIBRARIAN -CAREER STATUS	ASSOC LIBRARIAN -CAREER STATUS	Academic	Systemwide	621	F	Federation	Federation	7	
003617	ASSOC LIBRARIAN-POTNTL CAREER	ASSOC LIBRARIAN-POTNTL CAREER	Academic	Systemwide	621	F	Federation	Federation	2	
003618	ASSOC LIBRARIAN-TEMP STATUS	ASSOC LIBRARIAN-TEMP STATUS	Academic	Systemwide	621	F	Federation	Federation	1	
003620	ASST LIBRARIAN-CAREER STATUS	ASST LIBRARIAN-CAREER STATUS	Academic	Systemwide	621	F	Federation	Federation		
003621	ASST LIBRARIAN-POTNTL CAREER	ASST LIBRARIAN-POTNTL CAREER	Academic	Systemwide	621	F	Federation	Federation		
003622	ASST LIBRARIAN-TEMP STATUS	ASST LIBRARIAN-TEMP STATUS	Academic	Systemwide	621	F	Federation	Federation	1	
003635	LAW LIBRARIAN	LAW LIBRARIAN	Academic	Systemwide	627	F	Federation	Federation	1	
003636	LAW LIBRARIAN NEX	LAW LIBRARIAN NEX	Academic	Systemwide	627	F	Federation	Federation		
003637	ASST LAW LIBRARIAN	ASST LAW LIBRARIAN	Academic	Systemwide	627	F	Federation	Federation		
003638	ASST LAW LIBRARIAN NEX	ASST LAW LIBRARIAN NEX	Academic	Systemwide	627	F	Federation	Federation		
003639	ASSOC LAW LIBRARIAN	ASSOC LAW LIBRARIAN	Academic	Systemwide	627	F	Federation	Federation		
003640	ASSOC LAW LIBRARIAN NEX	ASSOC LAW LIBRARIAN NEX	Academic	Systemwide	627	F	Federation	Federation		
003650	CURATOR	CURATOR	Academic	Systemwide	927	F	No			
003651	ASSOC CURATOR	ASSOC CURATOR	Academic	Systemwide	927	F	No			
003652	ASST CURATOR	ASST CURATOR	Academic	Systemwide	927	F	No			
003662	LIBRARIAN-CAREER STATUS NEX	LIBRARIAN-CAREER STATUS NEX	Academic	Systemwide	621	F	Federation	Federation		
003663	LIBRARIAN-POTNTL CAREER NEX	LIBRARIAN-POTNTL CAREER NEX	Academic	Systemwide	621	F	Federation	Federation		
