KFS_PROPOSAL_NUMBER,ORACLE_AWARD_NUMBER
107966,K324672
108057,K324676
108216,K324684
113013,K324A00
113079,K324A06
113104,K324A08
113081,K324A20
113221,K324A25
113070,K324A30
113084,K324A32
113149,K324A34
113231,K324A36
113357,K324A37
113462,K324A38
113145,K324A50
113343,K324A55
113345,K324A56
113151,K324A60
113175,K324A61
113226,K324A63
113360,K324A64
113424,K324A66
113437,K324A67
112928,K324A77
113137,K324A80
113191,K324A83
113262,K324A84
113299,K324A86
117659,K324B00
117668,K324B01
117667,K324B02
117631,K324B05
117686,K324B07
118050,K324B08
117680,K324B11
117684,K324B12
117678,K324B13
117679,K324B14
117677,K324B15
117712,K324B23
117688,K324B24
117702,K324B25
117701,K324B26
117718,K324B29
117698,K324B30
117697,K324B31
117623,K324B34
117710,K324B36
117709,K324B37
117717,K324B39
117716,K324B40
117715,K324B41
117714,K324B42
117726,K324B45
117741,K324B46
117728,K324B47
117729,K324B48
117738,K324B49
117725,K324B50
117722,K324B51
117723,K324B52
117734,K324B56
117750,K324B59
117748,K324B64
117735,K324B65
117780,K324B68
117758,K324B70
117747,K324B71
117755,K324B72
117787,K324B73
117774,K324B78
117788,K324B79
117760,K324B84
117765,K324B89
117766,K324B90
117761,K324B93
117770,K324B96
117776,K324B98
121016,K324C00
121018,K324C01
121019,K324C04
122383,K324C05
122441,K324C06
122382,K324C07
122381,K324C08
122527,K324C09
122426,K324C10
122424,K324C11
122423,K324C12
122403,K324C13
122425,K324C14
122388,K324C15
122386,K324C16
122387,K324C17
122389,K324C18
122391,K324C19
122390,K324C20
122440,K324C26
122400,K324C27
122402,K324C28
122398,K324C29
122401,K324C30
122397,K324C31
122399,K324C32
122396,K324C33
122409,K324C34
122410,K324C35
122411,K324C36
122413,K324C38
122414,K324C39
122471,K324C40
122464,K324C41
122461,K324C42
122460,K324C43
122459,K324C44
122458,K324C45
122448,K324C46
122457,K324C48
122420,K324C49
122417,K324C50
122418,K324C51
122419,K324C52
122421,K324C53
122422,K324C54
122488,K324C55
122487,K324C56
122486,K324C57
122472,K324C58
122436,K324C59
122430,K324C60
122437,K324C61
122434,K324C63
122438,K324C64
122432,K324C65
122435,K324C66
122439,K324C67
122431,K324C68
122442,K324C69
122443,K324C70
122444,K324C71
122445,K324C72
122446,K324C73
122493,K324C76
122499,K324C77
122490,K324C78
122450,K324C81
122456,K324C82
122455,K324C83
122454,K324C84
122453,K324C85
122452,K324C86
122449,K324C87
122466,K324C88
122468,K324C89
122469,K324C90
122470,K324C91
122478,K324C97
122481,K324C99
127062,K324D00
127057,K324D01
127058,K324D02
127059,K324D03
127061,K324D04
127068,K324D11
127072,K324D12
127069,K324D13
127066,K324D14
127067,K324D15
127071,K324D16
127086,K324D17
127084,K324D18
127076,K324D19
127090,K324D20
127082,K324D21
127083,K324D22
127081,K324D23
127074,K324D24
127088,K324D25
127077,K324D26
127087,K324D27
127094,K324D28
127075,K324D29
127080,K324D30
127089,K324D31
127079,K324D32
127078,K324D33
127085,K324D35
127110,K324D37
127012,K324D38
127092,K324D39
127095,K324D40
127106,K324D41
127100,K324D42
127104,K324D43
127103,K324D44
127105,K324D45
127101,K324D46
127102,K324D47
127108,K324D48
127109,K324D49
127111,K324D50
127120,K324D51
127116,K324D54
127112,K324D55
127114,K324D56
127113,K324D57
127115,K324D58
127228,K324D59
127129,K324D60
127130,K324D61
127126,K324D63
127122,K324D64
127125,K324D65
127128,K324D66
127132,K324D67
127123,K324D68
127124,K324D69
127131,K324D70
127134,K324D71
127143,K324D73
